2,"Blood, Heart and Circulation",Aortic Aneurysm,"An aneurysm is a bulge or ballooning in the wall of an artery. Arteries are blood vessels that carry oxygen-rich blood from the heart to other parts of the body. If an aneurysm grows large, it can burst and cause dangerous bleeding or even death.|Most aneurysms are in the aorta, the main artery that runs from the heart through the chest and abdomen.|There are two types of aortic aneurysm:||Thoracic aortic aneurysms (TAA) - these occur in the part of the aorta running through the chest|Abdominal aortic aneurysms (AAA) - these occur in the part of the aorta running through the abdomen||Most aneurysms are found during tests done for other reasons. Some people are at high risk for aneurysms. It is important for them to get screening, because aneurysms can develop and become large before causing any symptoms. Screening is recommended for people between the ages of 65 and 75 if they have a family history, or if they are men who have smoked. Doctors use imaging tests to find aneurysms. Medicines and surgery are the two main treatments.|NIH: National Heart, Lung, and Blood Institute"
3,"Blood, Heart and Circulation",Aortic Aneurysm,"An aneurysm is a bulge or ballooning in the wall of an artery. Arteries are blood vessels that carry oxygen-rich blood from the heart to other parts of the body. If an aneurysm grows large, it can burst and cause dangerous bleeding or even death.|Most aneurysms are in the aorta, the main artery that runs from the heart through the chest and abdomen.|There are two types of aortic aneurysm:||Thoracic aortic aneurysms (TAA) - these occur in the part of the aorta running through the chest|Abdominal aortic aneurysms (AAA) - these occur in the part of the aorta running through the abdomen||Most aneurysms are found during tests done for other reasons. Some people are at high risk for aneurysms. It is important for them to get screening, because aneurysms can develop and become large before causing any symptoms. Screening is recommended for people between the ages of 65 and 75 if they have a family history, or if they are men who have smoked. Doctors use imaging tests to find aneurysms. Medicines and surgery are the two main treatments.|NIH: National Heart, Lung, and Blood Institute"
4,"Blood, Heart and Circulation",Blood,"Your blood is made up of liquid and solids. The liquid part, called plasma, is made of water, salts, and protein. Over half of your blood is plasma. The solid part of your blood contains red blood cells, white blood cells, and platelets.|Red blood cells (RBC) deliver oxygen from your lungs to your tissues and organs. White blood cells (WBC) fight infection and are part of your immune system. Platelets help blood to clot when you have a cut or wound. Bone marrow, the spongy material inside your bones, makes new blood cells. Blood cells constantly die and your body makes new ones. Red blood cells live about 120 days, and platelets live about 6 days. Some white blood cells live less than a day, but others live much longer.|There are four blood types: A, B, AB, or O. Also, blood is either Rh-positive or Rh-negative. So if you have type A blood, it's either A positive or A negative. Which type you are is important if you need a blood transfusion. And your Rh factor could be important if you become pregnant - an incompatibility between your type and the baby's could create problems. |Blood tests such as blood count tests help doctors check for certain diseases and conditions. They also help check the function of your organs and show how well treatments are working. Problems with your blood may include bleeding disorders, excessive clotting and platelet disorders. If you lose too much blood, you may need a transfusion.|NIH: National Heart, Lung, and Blood Institute"
5,"Blood, Heart and Circulation",Acute Lymphocytic Leukemia,"Leukemia is cancer of the white blood cells. White blood cells help your body fight infection. Your blood cells form in your bone marrow. In leukemia, however, the bone marrow produces abnormal white blood cells. These cells crowd out the healthy blood cells, making it hard for blood to do its work. In acute lymphocytic leukemia (ALL), also called acute lymphoblastic leukemia, there are too many of specific types of white blood cells called lymphocytes or lymphoblasts.  ALL is the most common type of cancer in children.|Possible risk factors for ALL include being male, being white, previous chemotherapy treatment, exposure to radiation, and for adults, being older than 70.|Symptoms of ALL include:||Weakness or feeling tired|Fever|Easy bruising or bleeding|Bleeding under the skin|Shortness of breath|Weight loss or loss of appetite|Pain in the bones or stomach|Pain or a feeling of fullness below the ribs|Painless lumps in the neck, underarm, stomach, or groin||Tests that examine the blood and bone marrow diagnose ALL. Treatments include chemotherapy, radiation therapy, stem cell transplants, and targeted therapy. Targeted therapy uses substances that attack cancer cells without harming normal cells. Once the leukemia is in remission, you need additional treatment to make sure that it does not come back.|NIH: National Cancer Institute"
6,"Blood, Heart and Circulation",Acute Lymphocytic Leukemia,"Leukemia is cancer of the white blood cells. White blood cells help your body fight infection. Your blood cells form in your bone marrow. In leukemia, however, the bone marrow produces abnormal white blood cells. These cells crowd out the healthy blood cells, making it hard for blood to do its work. In acute lymphocytic leukemia (ALL), also called acute lymphoblastic leukemia, there are too many of specific types of white blood cells called lymphocytes or lymphoblasts.  ALL is the most common type of cancer in children.|Possible risk factors for ALL include being male, being white, previous chemotherapy treatment, exposure to radiation, and for adults, being older than 70.|Symptoms of ALL include:||Weakness or feeling tired|Fever|Easy bruising or bleeding|Bleeding under the skin|Shortness of breath|Weight loss or loss of appetite|Pain in the bones or stomach|Pain or a feeling of fullness below the ribs|Painless lumps in the neck, underarm, stomach, or groin||Tests that examine the blood and bone marrow diagnose ALL. Treatments include chemotherapy, radiation therapy, stem cell transplants, and targeted therapy. Targeted therapy uses substances that attack cancer cells without harming normal cells. Once the leukemia is in remission, you need additional treatment to make sure that it does not come back.|NIH: National Cancer Institute"
7,"Blood, Heart and Circulation",Acute Myeloid Leukemia,"Leukemia is cancer of the white blood cells. White blood cells help your body fight infection. Your blood cells form in your bone marrow. In leukemia, however, the bone marrow produces abnormal white blood cells. These cells crowd out the healthy blood cells, making it hard for blood to do its work. In acute myeloid leukemia (AML), there are too many of a specific type of white blood cell called a myeloblast.|AML is the most common type of acute leukemia in adults. This type of cancer usually gets worse quickly if it is not treated. Possible risk factors include smoking, previous chemotherapy treatment, and exposure to radiation. |Symptoms of AML include:||Fever|Shortness of breath|Easy bruising or bleeding|Bleeding under the skin|Weakness or feeling tired|Weight loss or loss of appetite||Tests that examine the blood and bone marrow diagnose AML. Treatments include chemotherapy, other drugs, radiation therapy, stem cell transplants, and targeted therapy. Targeted therapy uses substances that attack cancer cells without harming normal cells. Once the leukemia is in remission, you need additional treatment to make sure that it does not come back.|NIH: National Cancer Institute"
8,"Blood, Heart and Circulation",Acute Myeloid Leukemia,"Leukemia is cancer of the white blood cells. White blood cells help your body fight infection. Your blood cells form in your bone marrow. In leukemia, however, the bone marrow produces abnormal white blood cells. These cells crowd out the healthy blood cells, making it hard for blood to do its work. In acute myeloid leukemia (AML), there are too many of a specific type of white blood cell called a myeloblast.|AML is the most common type of acute leukemia in adults. This type of cancer usually gets worse quickly if it is not treated. Possible risk factors include smoking, previous chemotherapy treatment, and exposure to radiation. |Symptoms of AML include:||Fever|Shortness of breath|Easy bruising or bleeding|Bleeding under the skin|Weakness or feeling tired|Weight loss or loss of appetite||Tests that examine the blood and bone marrow diagnose AML. Treatments include chemotherapy, other drugs, radiation therapy, stem cell transplants, and targeted therapy. Targeted therapy uses substances that attack cancer cells without harming normal cells. Once the leukemia is in remission, you need additional treatment to make sure that it does not come back.|NIH: National Cancer Institute"
9,"Blood, Heart and Circulation",Atrial Fibrillation,"An arrhythmia is a problem with the speed or rhythm of the heartbeat.  Atrial fibrillation (AF) is the most common type of arrhythmia. The cause is a disorder in the heart's electrical system.|||Often, people who have AF may not even feel symptoms. But you may feel|||Palpitations -- an abnormal rapid heartbeat|Shortness of breath|Weakness or difficulty exercising|Chest pain|Dizziness or fainting|Fatigue|Confusion|||AF can lead to an increased risk of stroke. In many patients, it can also cause chest pain, heart attack, or heart failure. |||Doctors diagnose AF using family and medical history, a physical exam, and a test called an electrocardiogram (EKG), which looks at the electrical waves your heart makes. Treatments include medicines and procedures to restore normal rhythm.||NIH: National Heart, Lung, and Blood Institute"
10,"Blood, Heart and Circulation",Acute Lymphocytic Leukemia,"Leukemia is cancer of the white blood cells. White blood cells help your body fight infection. Your blood cells form in your bone marrow. In leukemia, however, the bone marrow produces abnormal white blood cells. These cells crowd out the healthy blood cells, making it hard for blood to do its work. In acute lymphocytic leukemia (ALL), also called acute lymphoblastic leukemia, there are too many of specific types of white blood cells called lymphocytes or lymphoblasts.  ALL is the most common type of cancer in children.|Possible risk factors for ALL include being male, being white, previous chemotherapy treatment, exposure to radiation, and for adults, being older than 70.|Symptoms of ALL include:||Weakness or feeling tired|Fever|Easy bruising or bleeding|Bleeding under the skin|Shortness of breath|Weight loss or loss of appetite|Pain in the bones or stomach|Pain or a feeling of fullness below the ribs|Painless lumps in the neck, underarm, stomach, or groin||Tests that examine the blood and bone marrow diagnose ALL. Treatments include chemotherapy, radiation therapy, stem cell transplants, and targeted therapy. Targeted therapy uses substances that attack cancer cells without harming normal cells. Once the leukemia is in remission, you need additional treatment to make sure that it does not come back.|NIH: National Cancer Institute"
11,"Blood, Heart and Circulation",Acute Myeloid Leukemia,"Leukemia is cancer of the white blood cells. White blood cells help your body fight infection. Your blood cells form in your bone marrow. In leukemia, however, the bone marrow produces abnormal white blood cells. These cells crowd out the healthy blood cells, making it hard for blood to do its work. In acute myeloid leukemia (AML), there are too many of a specific type of white blood cell called a myeloblast.|AML is the most common type of acute leukemia in adults. This type of cancer usually gets worse quickly if it is not treated. Possible risk factors include smoking, previous chemotherapy treatment, and exposure to radiation. |Symptoms of AML include:||Fever|Shortness of breath|Easy bruising or bleeding|Bleeding under the skin|Weakness or feeling tired|Weight loss or loss of appetite||Tests that examine the blood and bone marrow diagnose AML. Treatments include chemotherapy, other drugs, radiation therapy, stem cell transplants, and targeted therapy. Targeted therapy uses substances that attack cancer cells without harming normal cells. Once the leukemia is in remission, you need additional treatment to make sure that it does not come back.|NIH: National Cancer Institute"
